from,subject,body,label
"alerts@id-theft[.]ru","Identity verification needed","Dear Customer,\nVerify identity at http://id-theft[.]ru/verify to prevent theft.",1
"team@notion.com","Comment on your doc","Hi Tanmay,\nSomeone left a comment on your Notion doc.",0
"offers@reward-center[.]com","Exclusive rewards waiting","CLAIM!\nGet rewards: http://reward-center[.]com/claim",1
"noreply@utilitycompany.com","Your bill is due","Dear Customer,\nYour utility bill is due on Oct 5. Pay via your account.",0
"admin@secure-access[.]com","Security alert: verify account","Dear User,\nVerify at http://secure-access[.]com/verify to restore access.",1
"contact@museum.org","Guided tour booking confirmation","Hello,\nYour guided tour on Oct 10 is confirmed. See details in email.",0
"offers@earn-crypto[.]io","Free crypto giveaway","FREE CRYPTO!\nJoin at http://earn-crypto[.]io/join",1
"support@apple.com","Your Apple receipt","Hi Tanmay,\nYour Apple purchase receipt is attached.",0
"alerts@bank-verify[.]ru","Verify account activity now","Dear Customer,\nVerify activity: http://bank-verify[.]ru/check",1
"jobs@techstartup.com","Interview follow-up","Hi Tanmay,\nThanks for interviewing. We'll be in touch shortly.",0
"promo@superstore[.]xyz","Exclusive midnight sale","SALE!\nShop now: http://superstore[.]xyz/midnight",1
"no-reply@govservices.gov","Your application has been received","Dear Applicant,\nWe received your application. We'll notify you of updates.",0
"admin@secure-mail[.]ru","Email verification required","Dear User,\nVerify at http://secure-mail[.]ru/verify to continue using mail services.",1
"team@asana.com","Task assigned: Prepare report","Hi Tanmay,\nA new task was assigned to you in Asana.",0
"offers@cashback[.]pro","Instant cashback on purchases","GET CASHBACK!\nVisit http://cashback[.]pro/redeem",1
"support@university.edu","Library fine notice","Hello,\nYou have an overdue book. Please return to avoid fines.",0
"alerts@secure-pay[.]com","Update your billing details","Dear Customer,\nUpdate details at http://secure-pay[.]com/update or service will be suspended.",1
"info@conference.com","Speaker schedule published","Hello,\nSpeaker schedule is published. See details on the site.",0
"promo@high-yield[.]fund","Invest and earn 20% monthly","INVEST NOW!\nOpen account at http://high-yield[.]fund/join",1
"noreply@ecommerce.com","Your refund has been processed","Hi Tanmay,\nYour refund has been processed and credited to your account.",0
"admin@verify-account[.]com","Confirm password change","Dear User,\nConfirm password change at http://verify-account[.]com/confirm",1
"notifications@twitter.com","New follower – check it out","Hi,\nYou have a new follower on Twitter.",0
"offers@loan-approve[.]xyz","Pre-approved loan offer","PRE-APPROVED!\nApply at http://loan-approve[.]xyz/start",1
"noreply@banking.com","We updated our privacy policy","Dear Customer,\nWe've updated our privacy policy. Review changes in your account.",0
"alerts@secure-login[.]com","Account flagged — verify identity","Dear User,\nAccount flagged for suspicious activity. Verify at http://secure-login[.]com/verify",1
"contact@community.org","Volunteer thank you","Hello,\nThank you for volunteering last weekend.",0
"promo@trendy-shop[.]ru","Limited edition release — buy now","LIMITED!\nShop at http://trendy-shop[.]ru/release",1
"support@github.com","New security alert for your account","Hi Tanmay,\nWe noticed unusual activity. Secure your account if necessary.",0
"admin@confirm-payment[.]xyz","Payment could not be processed","Dear Customer,\nConfirm payment now at http://confirm-payment[.]xyz/update",1
"newsletter@health.org","Weekly wellness tips","Hi,\nHere are curated wellness tips for the week.",0
"offers@best-coupons[.]info","Grab 80% off coupons","ACT FAST!\nDownload coupons: http://best-coupons[.]info/download",1
"info@bank.com","Important update about your account","Dear Tanmay,\nWe changed account features—see details in your online banking.",0
"security@verify-now[.]xyz","Transaction blocked — verify now","Dear Customer,\nA transaction was blocked. Verify at http://verify-now[.]xyz/transaction",1
"team@stripe.com","Payment dispute resolved","Hi Tanmay,\nA recent payment dispute has been resolved. See details in dashboard.",0
"offers@crypto-gains[.]com","Crypto investment opportunity","EARN BIG!\nStart at http://crypto-gains[.]com/invest",1
"noreply@school.edu","Registration confirmation","Dear Student,\nYour registration for the semester is confirmed.",0
"admin@secure-check[.]ru","Account requires immediate action","Dear User,\nTake immediate action: http://secure-check[.]ru/action",1
"support@zendesk.com","Ticket #789 resolved","Hi,\nYour support ticket #789 has been resolved. Close if satisfied.",0
"promo@luxury-deals[.]com","Exclusive luxury discount","SPECIAL!\nGrab discount at http://luxury-deals[.]com/deal",1
"noreply@travel.com","Itinerary for your upcoming trip","Hello Tanmay,\nYour trip itinerary is attached. Check online for updates.",0
"alerts@safe-bank[.]ru","Security update needed","Dear Customer,\nUpdate security settings at http://safe-bank[.]ru/update to keep account safe.",1
"team@dropbox.com","Shared file access granted","Hi Tanmay,\nA file was shared with you on Dropbox.",0
"offers@easy-cash[.]loan","Instant loan approved","APPROVED!\nGet loan at http://easy-cash[.]loan/accept",1
"info@citycouncil.org","Town hall meeting agenda","Dear Resident,\nTown hall meeting agenda has been published.",0
"admin@billing-verify[.]com","Confirm subscription payment","Dear Subscriber,\nConfirm your subscription at http://billing-verify[.]com/confirm",1
"support@paypal.com","Your payment was received","Hi Tanmay,\nWe received your payment. No further action required.",0
"offers@mega-earn[.]xyz","Work remotely — huge pay","EARN NOW!\nStart at http://mega-earn[.]xyz/signup",1
"noreply@museum.org","Membership card ready","Hello,\nYour membership card is ready for pickup.",0
"admin@secure-update[.]ru","Verification request","Dear User,\nPlease verify at http://secure-update[.]ru/verify or your account will be restricted.",1
"team@microsoft.com","Office license renewed","Hi,\nYour Office license has been renewed successfully.",0
"promo@surveys-earn[.]com","Take surveys and get paid","EARN CASH!\nJoin at http://surveys-earn[.]com/join",1
"noreply@library.org","Book due date reminder","Hello,\nYour borrowed book is due next week. Please return to avoid fines.",0
"security@account-check[.]ru","Confirm account changes","Dear Customer,\nConfirm changes at http://account-check[.]ru/confirm",1
"info@theater.com","Your show tickets","Hi Tanmay,\nYour show tickets for Oct are attached.",0
"offers@smart-credits[.]loan","Credit offer approval","Congratulations!\nPre-approved credit at http://smart-credits[.]loan/accept",1
"noreply@university.edu","Transcript request processed","Hello,\nYour transcript request has been processed.",0
"alerts@secure-mail[.]com","Unusual login — verify","Dear User,\nAn unusual login was detected. Verify at http://secure-mail[.]com/verify",1
"team@figma.com","File comments notification","Hi,\nSomeone commented on your Figma file.",0
"offers@daily-prize[.]club","Daily prize winner","YOU WIN!\nClaim at http://daily-prize[.]club/claim",1
"support@bank.com","Account activity summary","Dear Tanmay,\nYour account had 3 successful logins this week. Review in online banking.",0
"admin@confirm-identity[.]ru","Identity confirmation required","Dear Customer,\nConfirm identity now at http://confirm-identity[.]ru/verify",1
"news@magazine.com","Your monthly magazine is here","Hi,\nYour monthly magazine edition is live.",0
"promo@super-earn[.]biz","Make money fast — limited slots","MAKE MONEY!\nStart at http://super-earn[.]biz/start",1
"noreply@clinic.org","Appointment reminder","Hello,\nYour appointment on Oct 5 is confirmed.",0
"support@secure-pay[.]com","Alert: billing issue","Dear Customer,\nBilling failed. Update details at http://secure-pay[.]com/update",1
"team@zoom.com","You have an upcoming meeting","Hi,\nYour scheduled Zoom meeting is tomorrow.",0
"offers@luxury-prize[.]xyz","Claim your luxury prize","CLAIM!\nGet prize at http://luxury-prize[.]xyz/claim",1
"noreply@cityservices.gov","Permit application approved","Dear Applicant,\nYour permit application has been approved.",0
"admin@verify-account[.]info","Verify to restore access","Dear User,\nVerify at http://verify-account[.]info/restore to regain access.",1
"contact@hotel.com","Reservation confirmation","Hello Tanmay,\nYour hotel reservation is confirmed. See details in booking.",0
"offers@fast-cash[.]loan","Instant cash for you","INSTANT CASH!\nApply at http://fast-cash[.]loan/apply",1
"support@github.com","Repo invitation","Hi Tanmay,\nYou were invited to collaborate on a repository.",0
"alerts@securebank[.]ru","Confirm account changes immediately","Dear Customer,\nConfirm at http://securebank[.]ru/confirm to avoid suspension.",1
"noreply@airline.com","Boarding pass attached","Hi Tanmay,\nYour boarding pass is attached for flight AI123.",0
"promo@get-rich[.]info","Investment winner selected","CONGRATS!\nClaim at http://get-rich[.]info/claim",1
"support@company.com","Password expiration notice","Dear Employee,\nYour password will expire in 7 days. Please change it via the intranet.",0
"admin@verify-now[.]net","Verify billing details","Dear Customer,\nVerify billing details at http://verify-now[.]net/billing",1
"info@museum.org","Exhibit opening invitation","Hello,\nYou're invited to our exhibit opening next month.",0
"offers@work-from-home[.]org","Start earning from home","EARN TODAY!\nJoin at http://work-from-home[.]org/signup",1
"noreply@bank.com","Change to account terms","Dear Customer,\nWe updated account terms. Please review.",0
"security@account-verify[.]xyz","Unauthorized activity — confirm now","Dear User,\nConfirm at http://account-verify[.]xyz/confirm if this wasn't you.",1
"team@google.com","Subscription notice","Hi,\nYour Google subscription has been updated.",0
"promo@daily-cash[.]ru","Claim your daily cash","CLAIM!\nDaily cash at http://daily-cash[.]ru/claim",1
"noreply@school.edu","Semester timetable published","Dear Student,\nThe semester timetable is now published on the portal.",0
"admin@secure-portal[.]com","Verify your identity for access","Dear User,\nVerify identity at http://secure-portal[.]com/verify to continue services.",1
"support@dropbox.com","Billing issue on your account","Hi Tanmay,\nA billing issue occurred. Update billing info in your account.",0
"offers@prize-now[.]club","You are eligible for instant prize","YOU'RE ELIGIBLE!\nClaim at http://prize-now[.]club/claim",1
"info@bookstore.com","Your pre-order is confirmed","Hello,\nYour pre-order will ship next week.",0
"admin@secure-checks[.]ru","Confirm identity to continue","Dear User,\nConfirm identity now: http://secure-checks[.]ru/confirm",1
"team@slack.com","Reminder: team meeting","Hi,\nTeam meeting scheduled tomorrow at 3 PM.",0
"offers@instant-win[.]xyz","Instant win — claim now","WIN NOW!\nClaim at http://instant-win[.]xyz/claim",1
"noreply@health.org","Vaccination schedule update","Hello,\nYour local clinic vaccination schedule has been updated.",0
"admin@bank-confirm[.]info","Security verification required","Dear Customer,\nComplete verification at http://bank-confirm[.]info/verify",1
"support@zendesk.com","Your support request updated","Hi,\nYour request has been updated by our team.",0
"promo@hot-deals[.]online","Limited voucher inside","GET VOUCHER!\nVisit http://hot-deals[.]online/voucher",1
"noreply@library.org","Your hold is ready for pickup","Hello,\nYour library hold is ready for pickup.",0
"admin@verify-service[.]ru","Service verification required","Dear User,\nVerify service at http://verify-service[.]ru/verify",1
"team@trello.com","Card assigned to you","Hi Tanmay,\nA new Trello card was assigned to you.",0
"offers@lottery-claim[.]com","Claim your lottery prize","CLAIM NOW!\nGo to http://lottery-claim[.]com/claim",1
"noreply@museum.org","Exhibit ticket attached","Hello,\nYour ticket for the exhibit is attached.",0
"security@secure-verify[.]xyz","Account verification pending","Dear Customer,\nComplete verification: http://secure-verify[.]xyz/complete",1
"info@conference.org","Venue details and map","Hi,\nVenue details and map are attached for your convenience.",0
"promo@easy-earn[.]biz","Work a few hours — earn daily","EARN DAILY!\nStart at http://easy-earn[.]biz/start",1
"noreply@school.edu","Exam schedule published","Dear Student,\nExam schedule for the semester is now live.",0
"admin@confirm-account[.]com","Confirm account changes","Dear User,\nConfirm account changes at http://confirm-account[.]com/confirm",1
"support@helpdesk.com","Ticket closed","Hi,\nYour helpdesk ticket is marked closed.",0
"offers@bonus-rewards[.]info","Limited time bonus reward","CLAIM BONUS!\nVisit http://bonus-rewards[.]info/claim",1
"noreply@events.org","RSVP confirmed","Hello,\nYour RSVP to the event is confirmed.",0
"admin@secure-update[.]net","Update billing information","Dear Customer,\nUpdate billing at http://secure-update[.]net/billing",1
"team@notion.so","New workspace activity","Hi,\nThere is new activity in your Notion workspace.",0
"promo@fast-money[.]club","Get money fast — instant approval","APPLY!\nVisit http://fast-money[.]club/apply",1
"noreply@bank.com","Security alert: new device","Dear Tanmay,\nA new device accessed your account. If not you, secure it immediately.",0
"admin@verify-mail[.]ru","Verify your mailbox now","Dear User,\nVerify at http://verify-mail[.]ru/verify to avoid closure.",1
"support@github.com","GPG key added to your account","Hi,\nA new GPG key was added to your GitHub account.",0
"offers@make-wealth[.]xyz","Make wealth quickly","GROW WEALTH!\nStart at http://make-wealth[.]xyz/start",1
"noreply@clinic.org","Prescription ready for pickup","Hello,\nYour prescription is ready for pickup at the pharmacy.",0
"alerts@banking-security[.]com","Confirm transaction to avoid reversal","Dear Customer,\nConfirm transaction at http://banking-security[.]com/confirm",1
"team@slack.com","Reminder: password rotation","Hi,\nPlease rotate your password as per policy.",0
"promo@cash-prize[.]today","You are selected for cash prize","CLAIM!\nGo to http://cash-prize[.]today/claim",1
"noreply@concerts.com","Your e-ticket","Hello Tanmay,\nYour e-ticket is attached. Enjoy the show!",0
"admin@secure-check[.]org","Update required: account verification","Dear User,\nUpdate verification at http://secure-check[.]org/update",1
"support@adobe.com","Creative Cloud billing notice","Hi,\nYour Creative Cloud billing is processed.",0
"offers@profit-now[.]site","Profit opportunity today","EARN NOW!\nStart at http://profit-now[.]site/join",1
"noreply@university.edu","Orientation schedule","Dear Student,\nOrientation info and schedule are posted on the student portal.",0
"admin@verify-identity[.]ru","Identity check required","Dear Customer,\nComplete identity check at http://verify-identity[.]ru/check",1
"team@asana.com","Project milestone reached","Hi,\nProject milestone reached — great work!",0
"promo@quick-pay[.]me","Update your payment info to continue","ACTION REQUIRED!\nUpdate at http://quick-pay[.]me/update",1
"noreply@theater.com","Ticket purchase confirmation","Hello,\nYour ticket purchase is confirmed. See details in order.",0
"alerts@secure-service[.]com","Account security issue detected","Dear Customer,\nWe detected a problem. Verify at http://secure-service[.]com/verify",1
"support@shop.com","Shipping update for your order","Hi Tanmay,\nYour order will be delivered tomorrow.",0
"offers@win-prizes[.]online","You could win big prizes","WIN BIG!\nEnter at http://win-prizes[.]online/enter",1
"noreply@city.gov","Public consultation notice","Dear Resident,\nPublic consultation details are live on the city website.",0
"admin@confirm-billing[.]xyz","Confirm your billing details now","Dear User,\nConfirm at http://confirm-billing[.]xyz/update",1
